date,isin_corporate_name_cleaned,company_parent_country,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2010-04-29,,UK,UK,,,,,,Which? (UK Consumers Association),,,,
2010-04-29,,UK,UK,,,,,,Which? (UK Consumers Association),,,,
2010-04-28,,US,Kenya,,,,,,African Biodiversity Network,,,,
2010-04-28,Lloyds Banking  ,UK,UK,,,,,,WWF UK,,,,
2010-04-28,HSBC   ,UK,Netherlands,,,,,,BankTrack,,,,
2010-04-28,ING Groep ,Netherlands,Netherlands,,,,,,BankTrack,,,,
2010-04-28,,Spain,Netherlands,,,,,,BankTrack,,,,
2010-04-28,,Netherlands,Netherlands,,,,,,BankTrack,,,,
2010-04-28,,Germany,Netherlands,,,,,,BankTrack,,,,
2010-04-27,,UK,Canada,India,UK,,,,Amnesty UK,Friends of the Earth Scotland / FoE Scotland,Scottish Education & Action for Development SEAD,Global Justice Now (formerly World Development Movement / WDM),People and Planet
2010-04-27,,US,US,,,,,,Oakland Institute,,,,
2010-04-22,,UK,Canada,UK,,,,,Climate Camp UK,,,,
2010-04-19,JPMorgan Chase ,US,US,,,,,,Ohio Valley Environmental Coalition OVEC,Coal River Mountain Watch,Climate Ground Zero,Reverend Billy - Church of Life after Shopping,Rising Tide North America
2010-04-19,,US,US,,,,,,Environment California,,,,
2010-04-19,Aetna ,US,US,,,,,,U.S. PIRG,,,,
2010-04-19,Cigna ,US,US,,,,,,U.S. PIRG,,,,
2010-04-13,,Austria,Austria,,,,,,Greenpeace Austria,WWF Austria / WWF Oesterreich,,,
2010-04-13,,France,Spain,,,,,,Greenpeace Spain,,,,
2010-04-12,Aegon ,Netherlands,Netherlands,,,,,,Stichting Onderzoek Multinationale Ondernemingen / SOMO,VBDO Dutch Assn of Investors for Sustainable Devel,,,
2010-04-09,Bank of America ,US,Canada,US,,,,,Stand / ForestEthics,,,,
2010-04-09,Berkshire Hathaway ,US,Canada,US,,,,,Stand / ForestEthics,,,,
2010-04-09,American Express ,US,Canada,US,,,,,Stand / ForestEthics,,,,
2010-04-09,Capital One Financial ,US,Canada,US,,,,,Stand / ForestEthics,,,,
2010-04-09,Discover Financial Services ,US,Canada,US,,,,,Stand / ForestEthics,,,,
2010-04-09,ING Groep ,Netherlands,Netherlands,,,,,,Milieudefensie / FoE Netherlands,Eerlijke Bankwijzer / Fair Bank Guide,,,
2010-04-09,,Netherlands,Netherlands,,,,,,Milieudefensie / FoE Netherlands,Eerlijke Bankwijzer / Fair Bank Guide,,,
2010-04-09,,Netherlands,Netherlands,,,,,,Milieudefensie / FoE Netherlands,Eerlijke Bankwijzer / Fair Bank Guide,,,
2010-04-09,Aegon ,Netherlands,Netherlands,,,,,,Milieudefensie / FoE Netherlands,Eerlijke Bankwijzer / Fair Bank Guide,,,
2010-04-08,,US,Peru,US,,,,,International Accountability Project,,,,
2010-04-07,,US,South Africa,US,,,,,Friends of the Earth U.S. / FoE U.S.,Avaaz,350.org,Action Africa,
2010-04-07,HSBC   ,UK,UK,US,,,,,Carbon Disclosure Project CDP,,,,
2010-04-07,ING Groep ,Netherlands,UK,US,,,,,Carbon Disclosure Project CDP,,,,
2010-04-07,Allianz ,Germany,UK,US,,,,,Carbon Disclosure Project CDP,,,,
2010-04-05,AXA ,France,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2010-04-05,BNP Paribas ,France,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2010-04-05,Deutsche Bank ,Germany,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2010-04-05,,US,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2010-04-05,ING Groep ,Netherlands,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2010-04-05,Dexia ,Belgium,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2010-04-05,,Netherlands,Belgium,,,,,,FairFin (previously Netwerk Vlaanderen),,,,
2010-04-05,JPMorgan Chase ,US,Canada,US,,,,,Rising Tide North America,Canadian Youth Climate Coalition CYCC ,,,
2010-02-26,BNP Paribas ,France,Australia,France,Germany,Indonesia,Netherlands,France,Amis de la Terre France / FoE France,BankTrack,WALHI / FoE Indonesia,Mineral Policy Institute MPI,Robin Wood
2010-01-27,,US,US,,,,,,As You Sow,Investor Environmental Health Network IEHN,,,
2011-12-21,UniCredit ,Italy,Austria,Slovakia,,,,,GLOBAL 2000 / FoE Austria,Greenpeace Austria,,,
2011-12-21,,US,Peru,,,,,,Frente de Defensa Ambiental de Cajamarca,Plataforma Interinstitucional Celendina Pic,,,
2011-12-19,,Denmark,Denmark,Peru,,,,,DanWatch,,,,
2011-12-19,,Denmark,Denmark,Peru,,,,,DanWatch,,,,
2011-12-19,,Denmark,Denmark,Peru,,,,,DanWatch,,,,
2011-12-19,,Denmark,Denmark,Peru,,,,,DanWatch,,,,
2011-12-16,Lloyds Banking  ,UK,UK,,,,,,OccupyLSX,,,,
2011-12-16,Lloyds Banking  ,UK,UK,,,,,,Which? (UK Consumers Association),,,,
2011-12-16,,UK,UK,,,,,,Which? (UK Consumers Association),,,,
2011-12-16,RSA Insurance  ,UK,China,,,,,,WWF China,,,,
2011-12-13,Goldman Sachs ,US,US,,,,,,Occupy Wall Street,Occupy Seattle,Occupy Los Angeles,,
2011-12-13,Deutsche Bank ,Germany,South Africa,,,,,,Mupo Foundation,,,,
2011-12-13,HSBC   ,UK,South Africa,,,,,,Mupo Foundation,,,,
2011-12-13,JPMorgan Chase ,US,South Africa,,,,,,Mupo Foundation,,,,
2011-12-13,Prudential  ,UK,South Africa,,,,,,Mupo Foundation,,,,
2011-12-13,Goldman Sachs ,US,US,,,,,,Institute for Policy Studies U.S.,,,,
2011-12-09,,UK,UK,,,,,,Consumer Focus,,,,
2011-12-09,Barclays  ,UK,UK,,,,,,Consumer Focus,,,,
2011-12-09,,US,South Africa,US,,,,,groundWork / FoE South Africa,Earthlife Africa,,,
2011-12-09,,Luxembourg,Germany,Slovenia,EU-Brussels,,,,CEE Bankwatch Network,,,,
2011-12-09,BlackRock ,US,UK,US,,,,,Occupiers for Animals,,,,
2011-12-09,Wells Fargo ,US,US,,,,,,Citizens for Tax Justice,Public Campaign,,,
2011-12-06,,UK,UK,,,,,,UK Uncut,,,,
