"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"860Z200US01109","ZCTA5 01109","30968","8433","10678","223","441","47","6852","4294",
"860Z200US01118","ZCTA5 01118","14296","7999","2288","43","792","4","1595","1575",
"860Z200US01119","ZCTA5 01119","14393","6922","3169","67","305","11","2105","1814",
"860Z200US01128","ZCTA5 01128","2647","1812","289","22","79","1","211","233",
"860Z200US01129","ZCTA5 01129","7024","3900","1269","31","238","6","863","717",
"860Z200US01144","ZCTA5 01144","0","0","0","0","0","0","0","0",
"860Z200US01151","ZCTA5 01151","9150","3821","1807","56","124","7","1978","1357",
"860Z200US01201","ZCTA5 01201","45494","36357","3010","105","650","7","1785","3580",
"860Z200US01220","ZCTA5 01220","8166","7432","110","12","41","0","60","511",
"860Z200US01222","ZCTA5 01222","835","727","5","4","4","0","33","62",
"860Z200US01223","ZCTA5 01223","2430","2257","10","2","9","0","19","133",
"860Z200US01224","ZCTA5 01224","217","183","9","0","5","0","3","17",
"860Z200US01225","ZCTA5 01225","3258","3011","25","2","31","5","21","163",
"860Z200US01226","ZCTA5 01226","6324","5847","61","7","61","0","58","290",
"860Z200US01229","ZCTA5 01229","189","169","1","1","0","0","6","12",
"860Z200US01230","ZCTA5 01230","8907","7569","183","38","225","3","351","538",
"860Z200US01235","ZCTA5 01235","2733","2586","10","2","10","0","16","109",
"860Z200US01236","ZCTA5 01236","1513","1343","17","6","12","0","41","94",
"860Z200US01237","ZCTA5 01237","2365","2165","28","6","24","0","20","122",
"860Z200US01238","ZCTA5 01238","5722","5077","60","11","134","2","163","275",
"860Z200US01240","ZCTA5 01240","4692","4253","52","4","102","5","85","191",
"860Z200US01242","ZCTA5 01242","449","413","1","0","0","0","11","24",
"860Z200US01243","ZCTA5 01243","175","168","0","0","0","0","2","5",
"860Z200US01244","ZCTA5 01244","287","268","2","2","0","0","2","13",
"860Z200US01245","ZCTA5 01245","933","845","14","4","12","0","7","51",
"860Z200US01247","ZCTA5 01247","15147","13377","347","38","113","2","234","1036",
"860Z200US01253","ZCTA5 01253","808","755","3","6","4","0","5","35",
"860Z200US01254","ZCTA5 01254","946","864","4","0","19","0","8","51",
"860Z200US01255","ZCTA5 01255","959","897","6","2","2","0","7","45",
