ticker,date,n_tweets,sent_index
V,2018-12-25,12,0.0
V,2018-12-26,11,0.0
V,2018-12-30,2,0.5
V,2018-12-31,10,0.1
V,2019-01-01,8,0.5
V,2019-01-02,16,0.2
V,2019-01-03,26,0.1
V,2019-01-04,13,0.0
V,2019-01-09,6,0.3333333333333333
V,2019-01-10,25,0.2
V,2019-01-11,26,-0.1
V,2019-01-12,13,0.3
V,2019-01-13,4,0.5
V,2019-01-14,8,0.0
V,2019-01-15,20,0.0
V,2019-01-16,33,0.2
V,2019-01-17,31,0.1
V,2019-01-19,3,0.3333333333333333
V,2019-01-20,6,0.16666666666666666
V,2019-01-21,9,0.2222222222222222
V,2019-01-22,26,-0.2
V,2019-01-23,19,0.1
V,2019-01-24,19,0.3
V,2019-01-31,75,-0.1
V,2019-02-04,29,0.2
V,2019-02-05,35,0.2
V,2019-02-06,14,0.2
V,2019-02-07,17,0.2
V,2019-02-08,19,0.3
V,2019-02-09,7,0.2857142857142857
V,2019-02-10,6,0.16666666666666666
V,2019-02-11,25,0.2
V,2019-02-13,17,-0.1
V,2019-02-14,21,0.5
V,2019-02-15,25,0.2
V,2019-02-16,4,0.5
V,2019-02-17,9,0.3333333333333333
V,2019-02-22,3,-0.3333333333333333
V,2019-02-23,11,0.2
V,2019-02-24,11,0.3
V,2019-02-25,30,0.2
V,2019-02-26,45,0.2
V,2019-02-27,23,0.2
V,2019-02-28,22,0.3
V,2019-03-01,38,0.2
V,2019-03-02,9,0.0
V,2019-03-03,10,0.0
V,2019-03-04,27,-0.1
V,2019-03-05,24,0.4
V,2019-03-06,19,-0.3
V,2019-03-07,23,-0.1
V,2019-03-08,25,-0.1
V,2019-03-09,3,0.3333333333333333
V,2019-03-10,4,0.0
V,2019-03-11,28,0.3
V,2019-03-12,63,0.1
V,2019-03-13,44,0.2
V,2019-03-14,16,0.0
V,2019-03-15,65,0.4
V,2019-03-16,11,0.3
V,2019-03-18,18,0.2
V,2019-03-19,22,0.1
V,2019-03-20,22,-0.2
V,2019-03-21,11,0.0
V,2019-03-22,41,0.4
V,2019-03-23,6,0.16666666666666666
V,2019-03-24,7,0.42857142857142855
V,2019-03-25,60,0.1
V,2019-03-26,27,0.1
V,2019-03-27,22,0.1
V,2019-03-28,20,0.3
V,2019-03-29,21,0.2
V,2019-03-30,6,0.0
V,2019-03-31,8,0.375
V,2019-04-01,39,0.1
V,2019-04-02,26,0.2
V,2019-04-03,34,0.7
V,2019-04-04,22,0.3
V,2019-04-05,19,0.3
V,2019-04-06,3,0.3333333333333333
V,2019-04-07,7,0.14285714285714285
V,2019-04-08,23,0.4
V,2019-04-09,42,0.3
V,2019-04-10,26,0.2
V,2019-04-11,28,0.2
V,2019-04-12,46,0.0
V,2019-04-13,19,0.4
V,2019-04-14,26,0.6
V,2019-04-15,52,0.6
V,2019-04-16,45,0.4
V,2019-04-17,40,0.1
V,2019-04-18,31,0.2
V,2019-04-19,30,-0.1
V,2019-04-20,16,0.2
V,2019-04-21,9,0.1111111111111111
V,2019-04-22,22,0.5
V,2019-04-23,45,0.0
V,2019-04-24,84,0.2
V,2019-04-25,91,0.1
V,2019-04-26,48,0.1
V,2019-04-27,10,0.2
V,2019-04-28,7,0.2857142857142857
V,2019-04-29,40,0.0
V,2019-04-30,61,0.1
V,2019-05-01,41,-0.1
V,2019-05-02,34,0.1
V,2019-05-03,29,0.1
V,2019-05-04,6,0.5
V,2019-05-05,2,0.0
V,2019-05-06,57,0.2
V,2019-05-07,35,0.3
V,2019-05-08,35,0.1
V,2019-05-09,40,0.1
V,2019-05-10,19,0.1
V,2019-05-11,3,-0.3333333333333333
V,2019-05-12,5,0.0
V,2019-05-13,20,0.2
V,2019-05-14,55,0.5
V,2019-05-15,28,0.4
V,2019-05-16,25,0.2
V,2019-05-17,22,0.2
V,2019-05-18,4,0.25
V,2019-05-19,1,0.0
V,2019-05-20,23,0.0
V,2019-05-21,22,0.1
V,2019-05-22,25,0.0
V,2019-05-23,21,0.1
V,2019-05-24,12,0.3
V,2019-05-25,5,0.2
V,2019-05-26,3,0.3333333333333333
V,2019-05-27,6,0.3333333333333333
V,2019-05-28,19,0.0
V,2019-05-29,20,0.4
V,2019-05-30,24,-0.1
V,2019-05-31,28,0.4
V,2019-06-01,5,0.0
V,2019-06-02,3,0.3333333333333333
V,2019-06-03,34,0.1
V,2019-06-04,18,0.4
V,2019-06-05,28,0.0
V,2019-06-06,42,0.2
V,2019-06-07,47,0.4
V,2019-06-08,14,0.4
V,2019-06-09,4,0.75
V,2019-06-10,16,0.2
V,2019-06-11,41,0.4
V,2019-06-12,34,0.0
V,2019-06-13,56,0.1
V,2019-06-14,32,0.1
V,2019-06-15,11,0.2
V,2019-06-16,10,0.2
V,2019-06-17,39,0.0
V,2019-06-18,49,0.0
V,2019-06-19,23,0.1
V,2019-06-20,28,0.5
V,2019-06-21,25,0.2
V,2019-06-22,3,0.3333333333333333
V,2019-06-23,4,0.25
V,2019-06-24,28,0.4
V,2019-06-25,47,-0.1
V,2019-06-26,24,0.0
V,2019-06-27,25,0.1
V,2019-06-28,31,0.6
V,2019-06-29,6,0.16666666666666666
V,2019-06-30,11,0.4
V,2019-07-01,34,0.3
V,2019-07-02,31,0.3
V,2019-07-03,42,0.6
V,2019-07-04,10,0.0
V,2019-07-05,39,0.1
V,2019-07-06,9,0.3333333333333333
V,2019-07-07,5,0.0
V,2019-07-08,21,0.3
V,2019-07-09,34,0.2
V,2019-07-10,62,0.0
V,2019-07-11,49,0.0
V,2019-07-12,41,0.2
V,2019-07-13,7,0.42857142857142855
V,2019-07-14,4,0.0
V,2019-07-15,21,0.2
V,2019-07-16,36,0.2
V,2019-07-17,32,0.1
V,2019-07-18,27,0.2
V,2019-07-19,42,-0.1
V,2019-07-20,7,0.14285714285714285
V,2019-07-21,11,0.4
V,2019-07-22,38,0.3
V,2019-07-23,317,-0.2
V,2019-07-24,198,-0.1
V,2019-07-25,59,0.2
V,2019-07-26,48,0.4
V,2019-07-27,11,0.2
V,2019-07-28,19,0.4
V,2019-07-29,37,0.5
V,2019-07-30,44,0.1
V,2019-07-31,89,0.0
V,2019-08-01,56,0.2
V,2019-08-02,48,0.1
V,2019-08-03,14,0.2
V,2019-08-04,11,0.2
V,2019-08-05,77,-0.3
V,2019-08-06,47,0.1
V,2019-08-07,51,0.4
V,2019-08-08,61,0.4
V,2019-08-09,32,0.4
V,2019-08-10,8,0.25
V,2019-08-11,7,0.2857142857142857
V,2019-08-12,34,-0.1
V,2019-08-13,27,0.4
V,2019-08-14,36,0.3
V,2019-08-15,29,0.1
V,2019-08-16,25,0.4
V,2019-08-17,8,0.125
V,2019-08-18,13,0.3
V,2019-08-19,31,0.1
V,2019-08-20,20,0.0
V,2019-08-21,33,0.3
V,2019-08-22,26,0.5
V,2019-08-23,50,-0.1
V,2019-08-24,8,0.125
V,2019-08-25,11,0.2
V,2019-08-26,22,-0.3
V,2019-08-27,17,0.3
V,2019-08-28,17,0.2
V,2019-08-29,29,0.5
V,2019-08-30,21,0.3
V,2019-08-31,10,-0.1
V,2019-09-01,9,0.1111111111111111
V,2019-09-02,11,0.3
V,2019-09-03,16,0.3
V,2019-09-04,15,0.4
V,2019-09-05,53,0.2
V,2019-09-06,36,0.6
V,2019-09-07,12,0.4
V,2019-09-08,11,0.3
V,2019-09-09,96,-0.1
V,2019-09-10,117,0.1
V,2019-09-11,90,-0.2
V,2019-09-12,65,0.1
V,2019-09-13,34,0.2
V,2019-09-14,10,0.3
V,2019-09-15,17,0.2
V,2019-09-16,33,0.0
V,2019-09-17,29,0.2
V,2019-09-18,47,0.3
V,2019-09-19,20,0.3
V,2019-09-20,36,0.1
V,2019-09-21,6,0.0
V,2019-09-22,12,0.3
V,2019-09-23,32,0.1
V,2019-09-24,32,0.3
V,2019-09-25,25,0.2
V,2019-09-26,27,0.3
V,2019-09-27,19,0.0
V,2019-09-28,6,0.5
V,2019-09-29,5,0.2
V,2019-09-30,56,-0.3
V,2019-10-01,44,0.4
V,2019-10-02,68,0.0
V,2019-10-03,32,0.1
V,2019-10-04,34,0.1
V,2019-10-05,9,0.2222222222222222
V,2019-10-06,6,0.0
V,2019-10-07,14,0.3
V,2019-10-08,19,0.3
V,2019-10-09,24,0.2
V,2019-10-10,23,0.5
V,2019-10-11,41,0.1
V,2019-10-12,8,-0.25
V,2019-10-13,5,0.2
V,2019-10-14,18,0.1
V,2019-10-15,14,0.2
V,2019-10-16,23,0.2
V,2019-10-17,25,0.1
V,2019-10-18,19,0.2
V,2019-10-19,7,0.0
V,2019-10-20,8,0.0
V,2019-10-21,32,0.5
V,2019-10-22,78,-0.3
V,2019-10-23,71,-0.1
V,2019-10-24,286,0.0
V,2019-10-25,104,0.1
V,2019-10-26,14,0.3
V,2019-10-27,10,0.0
V,2019-10-28,54,0.1
V,2019-10-29,47,0.4
V,2019-10-30,17,0.4
V,2019-10-31,21,0.1
V,2019-11-01,25,0.3
V,2019-11-02,7,0.2857142857142857
V,2019-11-03,10,0.1
V,2019-11-04,35,-0.2
V,2019-11-05,58,0.0
V,2019-11-06,40,0.2
V,2019-11-07,40,0.1
V,2019-11-08,21,0.4
V,2019-11-09,5,0.2
V,2019-11-10,4,0.5
V,2019-11-11,15,0.4
V,2019-11-12,32,0.0
V,2019-11-13,59,0.1
V,2019-11-14,30,0.0
V,2019-11-15,28,-0.2
V,2019-11-16,8,0.0
V,2019-11-17,8,0.25
V,2019-11-18,23,0.0
V,2019-11-19,47,0.2
V,2019-11-20,38,0.2
V,2019-11-21,35,0.1
V,2019-11-22,19,0.4
V,2019-11-23,12,0.3
V,2019-11-24,5,0.4
V,2019-11-25,16,0.3
V,2019-11-26,36,0.3
V,2019-11-27,65,0.5
V,2019-11-28,17,0.1
V,2019-11-29,28,0.4
V,2019-11-30,7,0.14285714285714285
V,2019-12-01,8,0.375
V,2019-12-02,52,0.0
V,2019-12-03,72,0.0
V,2019-12-04,36,0.0
V,2019-12-05,48,0.1
V,2019-12-06,28,0.3
V,2019-12-07,26,0.0
V,2019-12-08,18,0.3
V,2019-12-09,23,0.0
V,2019-12-10,17,0.3
V,2019-12-11,21,0.1
V,2019-12-12,6,0.0
V,2019-12-13,51,0.3
V,2019-12-14,21,0.3
V,2019-12-15,18,0.6
V,2019-12-16,40,0.0
V,2019-12-17,46,0.3
V,2019-12-18,27,0.1
V,2019-12-19,20,0.2
V,2019-12-20,41,0.4
V,2019-12-21,7,0.42857142857142855
V,2019-12-22,6,0.0
V,2019-12-23,21,0.4
V,2019-12-25,2,0.5
V,2019-12-26,30,0.5
V,2019-12-27,25,0.4
V,2019-12-28,8,0.25
V,2019-12-29,12,0.3
V,2019-12-31,16,0.0
V,2020-01-01,17,0.3
V,2020-01-02,40,0.7
V,2020-01-03,1,0.0
V,2020-01-04,5,0.6
V,2020-01-05,3,0.3333333333333333
V,2020-01-06,32,0.0
V,2020-01-07,30,0.1
V,2020-01-08,26,0.4
V,2020-01-09,34,0.4
V,2020-01-10,49,0.2
V,2020-01-11,9,0.0
V,2020-01-12,9,0.4444444444444444
V,2020-01-13,59,0.1
V,2020-01-14,121,0.4
V,2020-01-15,146,0.3
V,2020-01-16,110,0.2
V,2020-01-17,80,0.4
V,2020-01-18,2,0.0
V,2020-01-20,4,0.5
V,2020-01-21,105,0.2
V,2020-01-22,102,-0.1
V,2020-01-23,82,-0.3
V,2020-01-24,38,0.3
V,2020-01-25,22,0.1
V,2020-01-26,18,0.2
V,2020-01-27,41,0.3
V,2020-01-28,43,0.3
V,2020-01-30,72,0.5
V,2020-01-31,78,0.0
V,2020-02-03,81,0.2
V,2020-02-04,72,0.2
V,2020-02-05,76,0.3
V,2020-02-06,1,0.0
V,2020-02-07,64,0.2
V,2020-02-08,9,0.3333333333333333
V,2020-02-11,75,0.1
V,2020-02-12,69,0.6
V,2020-02-14,73,0.8
V,2020-02-17,15,0.4
V,2020-02-18,63,0.1
V,2020-02-19,16,0.3
V,2020-02-20,48,0.2
V,2020-02-21,12,0.3
V,2020-02-22,21,-0.1
V,2020-02-23,22,0.3
V,2020-02-24,54,-0.1
V,2020-02-25,190,0.2
V,2020-02-26,140,0.1
V,2020-02-27,150,0.0
V,2020-02-28,137,0.1
V,2020-02-29,42,0.3
V,2020-03-01,32,-0.1
V,2020-03-02,119,-0.1
V,2020-03-03,129,0.2
V,2020-03-04,89,0.0
V,2020-03-05,87,0.4
V,2020-03-06,61,-0.2
V,2020-03-07,22,0.3
V,2020-03-08,30,0.0
V,2020-03-09,112,-0.1
V,2020-03-10,65,0.0
V,2020-03-11,84,0.0
V,2020-03-12,117,-0.1
V,2020-03-13,87,0.2
V,2020-03-14,18,0.2
V,2020-03-15,34,0.4
V,2020-03-16,74,-0.2
V,2020-03-17,74,0.1
V,2020-03-18,100,0.0
V,2020-03-19,62,-0.2
V,2020-03-20,63,-0.3
V,2020-03-21,24,0.2
V,2020-03-22,18,0.1
V,2020-03-23,120,0.0
V,2020-03-24,76,-0.1
V,2020-03-25,94,0.2
V,2020-03-26,37,-0.2
V,2020-03-27,44,0.1
V,2020-03-28,21,0.4
V,2020-03-29,24,0.2
V,2020-03-30,56,-0.3
V,2020-03-31,52,0.0
V,2020-04-01,44,0.1
V,2020-04-02,42,-0.2
V,2020-04-03,27,0.1
V,2020-04-04,15,0.2
V,2020-04-05,11,0.0
V,2020-04-06,40,0.3
V,2020-04-07,38,0.5
V,2020-04-08,24,0.1
V,2020-04-09,39,0.0
V,2020-04-10,11,0.3
V,2020-04-11,13,0.2
V,2020-04-12,9,0.2222222222222222
V,2020-04-13,25,0.0
V,2020-04-14,36,0.1
V,2020-04-15,75,0.3
V,2020-04-16,101,0.1
V,2020-04-17,68,0.3
V,2020-04-18,28,0.3
V,2020-04-19,15,0.0
V,2020-04-20,33,0.3
V,2020-04-21,34,0.2
V,2020-04-22,51,-0.3
V,2020-04-23,39,-0.1
V,2020-04-24,33,0.3
V,2020-04-25,19,0.3
V,2020-04-26,16,0.3
V,2020-04-27,36,0.3
V,2020-04-28,31,0.1
V,2020-04-29,86,0.3
V,2020-04-30,255,0.1
V,2020-05-01,88,0.0
V,2020-05-02,17,0.5
V,2020-05-03,12,-0.2
V,2020-05-04,35,0.1
V,2020-05-05,47,0.2
V,2020-05-06,46,-0.1
V,2020-05-07,64,0.2
V,2020-05-08,44,0.2
V,2020-05-09,18,0.3
V,2020-05-10,13,0.2
V,2020-05-11,24,0.2
V,2020-05-12,30,-0.1
V,2020-05-13,47,-0.1
V,2020-05-14,42,0.1
V,2020-05-15,33,0.2
V,2020-05-16,6,0.16666666666666666
V,2020-05-17,16,0.3
V,2020-05-18,43,0.4
V,2020-05-19,37,0.3
V,2020-05-20,31,0.1
V,2020-05-21,26,0.2
V,2020-05-22,15,0.2
V,2020-05-23,15,-0.2
V,2020-05-24,13,0.2
V,2020-05-25,12,0.3
V,2020-05-26,36,0.1
V,2020-05-27,33,0.2
V,2020-05-28,58,0.6
V,2020-05-29,25,0.5
V,2020-05-30,11,0.3
