date,isin_corporate_name_cleaned,company_parent_country,company_parent,sentiment,target_country1,target_country2,target_country3,target_country4,target_country5,target_country6,ngo_name1,ngo_name2,ngo_name3,ngo_name4,ngo_name5
2014-02-04,,US,World Bank,-1,Uganda,US,,,,,Human Rights Watch HRW,,,,
2014-02-03,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-2,US,,,,,,United Students Against Sweatshops USAS,,,,
2014-01-31,,US,Inter-American Development Bank,0,Peru,,,,,,AIDESEP,Derecho Ambiente y Recursos Naturales DAR,,,
2014-01-30,Deutsche Bank ,Germany,Deutsche Bank,-2,Germany,,,,,,Foodwatch,,,,
2014-01-31,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-2,Denmark,,,,,,NOAH / FoE Denmark,Omstilling Nu,,,
2014-01-28,Aviva  ,UK,Aviva,-2,UK,,,,,,ShareAction (formerly Fair Pensions),,,,
2014-01-28,,UK,RBS Group,0,UK,,,,,,ShareAction (formerly Fair Pensions),,,,
2014-01-28,HSBC   ,UK,HSBC,-1,UK,,,,,,ShareAction (formerly Fair Pensions),,,,
2014-01-28,Barclays  ,UK,Barclays Bank,-2,UK,,,,,,ShareAction (formerly Fair Pensions),,,,
2014-01-28,Lloyds Banking  ,UK,Lloyds Banking Group plc,-2,UK,,,,,,ShareAction (formerly Fair Pensions),,,,
2014-01-28,Lloyds Banking  ,UK,Lloyds Banking Group plc,0,UK,,,,,,ShareAction (formerly Fair Pensions),,,,
2014-01-27,,Germany,KfW Bankengruppe,-2,Germany,,,,,,Klima Allianz Deutschland - Climate Alliance Germany,,,,
2014-01-27,Swedbank ,Sweden,Swedbank AB,-2,Sweden,,,,,,Sveriges Konsumenter,,,,
2014-01-27,,Sweden,Skandinaviska Enskilda Banken AB (SEB),-1,Sweden,,,,,,Sveriges Konsumenter,,,,
2014-01-27,,Sweden,Nordea,-1,Sweden,,,,,,Sveriges Konsumenter,,,,
2014-01-27,Svenska Handelsbanken ,Sweden,Handelsbanken,1,Sweden,,,,,,Sveriges Konsumenter,,,,
2014-01-27,Goldman Sachs ,US,"Goldman Sachs Group, Inc.",-2,Denmark,,,,,,Greenpeace Denmark,NOAH / FoE Denmark,Danmarks Naturfredningsforening / DN,Okologiske Rad / Eco Council,
2014-01-24,Lloyds Banking  ,UK,Lloyds Banking Group plc,2,UK,,,,,,WWF UK,Global Action Plan UK,,,
2014-01-22,,US,World Bank,0,Honduras,,,,,,Consejo Civico de Organizaciones Populares e Indigenas COPINH,,,,
2014-01-22,,US,World Bank,0,Honduras,,,,,,Consejo Civico de Organizaciones Populares e Indigenas COPINH,,,,
2014-01-21,Banco de Sabadell ,Spain,Banco Sabadell,-2,Spain,,,,,,ADICAE,,,,
2014-01-21,Banco Bilbao Vizcaya Argentaria ,Spain,BBVA Group / Banco Bilbao Vizcaya Argentaria,-2,Spain,,,,,,ADICAE,,,,
2014-01-21,Bankinter ,Spain,"Bankinter, S.A.",-2,Spain,,,,,,ADICAE,,,,
2014-01-21,,Spain,Grupo Santander,-2,Spain,,,,,,ADICAE,,,,
2014-01-21,Banco Popular Espanol ,Spain,Banco Popular Espanol,-2,Spain,,,,,,ADICAE,,,,
2014-01-21,,Spain,Kutxabank,-2,Spain,,,,,,ADICAE,,,,
2014-01-21,,Spain,Ibercaja,-2,Spain,,,,,,ADICAE,,,,
2014-01-21,,Spain,Bankia,-2,Spain,,,,,,ADICAE,,,,
2014-01-21,,Spain,Unicaja,-2,Spain,,,,,,ADICAE,,,,
2014-01-21,,Spain,NCG (Novacaixagalicia T/a Abanca),-2,Spain,,,,,,ADICAE,,,,
2014-01-21,,Spain,La Caixa,-2,Spain,,,,,,ADICAE,,,,
2014-01-21,,France,Credit Mutuel-CIC,-2,Spain,,,,,,ADICAE,,,,
2014-01-21,,Spain,Liberbank,-2,Spain,,,,,,ADICAE,,,,
2014-01-21,,Spain,Banco Mare Nostrum (BMN),-2,Spain,,,,,,ADICAE,,,,
2014-01-23,,UK,EBRD,-1,Ukraine,,,,,,National Environmental Centre of Ukraine (NECU),,,,
2014-01-20,Deutsche Bank ,Germany,Deutsche Bank,-2,Germany,EU-Brussels,,,,,Foodwatch,,,,
2014-01-20,HSBC   ,UK,HSBC,-1,Brazil,,,,,,Proteste Brazil / Associao Brasileira de Defesa do Consumidor,Fundacao Getulio Vargas,,,
2014-01-20,,Spain,La Caixa,-1,Brazil,,,,,,Proteste Brazil / Associao Brasileira de Defesa do Consumidor,Fundacao Getulio Vargas,,,
2014-01-20,,US,Citigroup,-1,Brazil,,,,,,Proteste Brazil / Associao Brasileira de Defesa do Consumidor,Fundacao Getulio Vargas,,,
2014-01-22,,Finland,Bank of Aland / Alandsbanken,2,Finland,,,,,,Natur och Miljo,,,,
2014-01-20,,Netherlands,PGGM,2,Israel,Netherlands,,,,,Oxfam Novib Netherlands,Pax (formerly IKV Pax Christi),ICCO,Cordaid,
2014-01-16,,US,Ernst & Young (EY),2,UK,,,,,,Stonewall,,,,
2014-01-16,,Sweden,Nordea,0,Russia,Sweden,,,,,SwedWatch,,,,
2014-01-16,,Denmark,PensionDanmark,-2,Denmark,,,,,,WWF Denmark,,,,
2014-01-16,,Denmark,PFA Pension,-2,Denmark,,,,,,WWF Denmark,,,,
2014-01-16,,Denmark,Industriens Pension,-2,Denmark,,,,,,WWF Denmark,,,,
2014-01-16,,Denmark,Danica Pension,-2,Denmark,,,,,,WWF Denmark,,,,
2014-01-16,,Denmark,Sampension,-2,Denmark,,,,,,WWF Denmark,,,,
2014-01-16,,Denmark,PKA,-2,Denmark,,,,,,WWF Denmark,,,,
2014-01-16,,Denmark,Nordea Liv & Pension,-2,Denmark,,,,,,WWF Denmark,,,,
2014-01-15,Bank of America ,US,Bank of America,-2,US,,,,,,U.S. PIRG,,,,
2014-01-15,Barclays  ,UK,Barclays Bank,-2,US,,,,,,U.S. PIRG,,,,
2014-01-15,JPMorgan Chase ,US,JP Morgan Chase,-2,US,,,,,,U.S. PIRG,,,,
2014-01-15,Wells Fargo ,US,Wells Fargo & Wachovia,-1,US,,,,,,U.S. PIRG,,,,
2014-01-15,,US,GE Capital,-2,US,,,,,,U.S. PIRG,,,,
2014-01-15,American Express ,US,American Express Company,-1,US,,,,,,U.S. PIRG,,,,
2014-01-15,,US,U.S. Bank,-1,US,,,,,,U.S. PIRG,,,,
2014-01-15,Capital One Financial ,US,Capital One,-2,US,,,,,,U.S. PIRG,,,,
2014-01-15,,US,Citigroup,-2,US,,,,,,U.S. PIRG,,,,
2014-01-15,Discover Financial Services ,US,Discover Financial Services,-1,US,,,,,,U.S. PIRG,,,,
2014-01-14,,UK,EBRD,-2,Georgia,EU-Brussels,,,,,CEE Bankwatch Network,,,,
2014-01-13,,UK,Wonga.com,-2,UK,,,,,,Which? (UK Consumers Association),,,,
2014-01-13,,UK,MyJar.com (Formerly TxtLoan),-1,UK,,,,,,Which? (UK Consumers Association),,,,
2014-01-13,,UK,Moneyshop.tv,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2014-01-13,,UK,Speedydosh.com,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2014-01-13,,UK,247moneybox.com,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2014-01-13,,UK,Minicredit.co.uk,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2014-01-13,,UK,Swiftmoney.co.uk,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2014-01-13,,UK,WageDayAdvance.co.uk,-1,UK,,,,,,Which? (UK Consumers Association),,,,
2014-01-14,,US,Citigroup,0,Brazil,,,,,,Proteste Brazil / Associao Brasileira de Defesa do Consumidor,,,,
2014-01-10,,US,World Bank,-1,Greece,,,,,,WWF Greece,,,,
2014-01-10,,Luxembourg,European Investment Bank EIB,1,Greece,,,,,,WWF Greece,,,,
2014-01-10,,UK,EBRD,-1,Greece,,,,,,WWF Greece,,,,
2014-01-09,,Sweden,Nordea,-2,Norway,,,,,,Framtiden i vare hender / FiVH ,,,,
2014-01-08,JPMorgan Chase ,US,JP Morgan Chase,-1,US,,,,,,U.S. PIRG,,,,
2014-01-06,Aegon ,Netherlands,Aegon Bank,1,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2014-01-06,,Netherlands,ASR Nederland,2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2014-01-06,,Netherlands,Loyalis,1,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2014-01-06,,Netherlands,Menzis Zorgverzekeraar,1,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2014-01-06,,Netherlands,CZ Groep,1,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2014-01-06,BNP Paribas ,France,BNP Paribas,1,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2014-01-06,SNS REAAL ,Netherlands,REAAL,2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2014-01-06,,Netherlands,Bovemij Verzekeringen,-2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2014-01-06,,Netherlands,Chartis Europe,-2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2014-01-06,,Netherlands,DAS,-2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
2014-01-06,,Netherlands,HDI Gerling Verzekeringen NV,-2,Netherlands,,,,,,VBDO Dutch Assn of Investors for Sustainable Devel,,,,
